accountsservice 26.13.3-1.1
aether 4.16.0-1
aethertune-bin 0.8.0-1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-2.1
awesome-terminal-fonts 1.1.0-5
baobab 50.0-1.1
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bind 9.20.22-1.1
bluez 5.86-5.1
bluez-hid2hci 5.86-5.1
bluez-libs 5.86-5.1
bluez-obex 5.86-5.1
bluez-utils 5.86-5.1
bpftune-git r754.afc3866-1
brave-bin 1:1.89.145-1
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 6.19.1-1
cachy-update 3.19.3-1
cachyos-fish-config 15-1
cachyos-gnome-settings 1.2.0-1
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.17.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-1
cachyos-settings 1:1.3.4-2
cachyos-snapper-support 1.0.2-1
cachyos-themes-sddm 1.0-3
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
chwd 1.21.0-1
code 1.118.1-1.1
cosmic-app-library 1:1.0.11-1.1
cosmic-applets 1:1.0.11-1.1
cosmic-bg 1:1.0.11-1.1
cosmic-comp 1:1.0.11-1.1
cosmic-files 1:1.0.11-1.1
cosmic-greeter 1:1.0.11-1.1
cosmic-icon-theme 1:1.0.11-1
cosmic-launcher 1:1.0.11-1.1
cosmic-notifications 1:1.0.11-1.1
cosmic-osd 1:1.0.11-1.1
cosmic-panel 1:1.0.11-1.1
cosmic-player 1:1.0.11-1.1
cosmic-randr 1:1.0.11-1.1
cosmic-screenshot 1:1.0.11-1.1
cosmic-session 1:1.0.11-1.1
cosmic-settings 1:1.0.11-1.1
cosmic-settings-daemon 1:1.0.11-1.1
cosmic-terminal 1:1.0.11-1.1
cosmic-text-editor 1:1.0.11-1.1
cosmic-wallpapers 2:1.0.11-1
cosmic-workspaces 2:1.0.11-1.1
cpupower 7.0.2-1
